what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"12",1779783380635
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1779783380635
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1779783380635
java.specification.name,sysinfo,,,"Java Platform API Specification",1779783380635
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1779783380635
java.specification.version,sysinfo,,,"1.6",1779783380635
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1779783380635
java.version,sysinfo,,,"1.6.0_23",1779783380635
java.vm.info,sysinfo,,,"mixed mode",1779783380635
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1779783380635
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1779783380635
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1779783380635
java.vm.specification.version,sysinfo,,,"1.0",1779783380635
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1779783380635
java.vm.version,sysinfo,,,"19.0-b09",1779783380635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779783382763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779783384067
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1779783384138
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779783384205
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1779783384460
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1779783384504
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1779783384538
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1779783384539
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1779783384539
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1779783386583
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1779783386588
error,log,,,"Unhandled Exception",1779783386590
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1779783386591
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1779783386591
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1779783386591
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1779783386591
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1779783386591
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1779783386592
error,log,,,"Unable to execute early startup code for an extension",1779783386592
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1779783386592
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1779783386593
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1779783386593
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1779783386595
