what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780652609767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652613464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652624739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652628656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652636611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652653403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652654721
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780652656697
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780652662967
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780652688197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652696822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652722997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652724176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652743870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780652745022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1780652745641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780652746543
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780652747507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652748865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652751638
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780652753081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780652759591
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780652761520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652762940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652765388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652768832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652770789
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780652772835
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780652779046
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780652798993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780652824143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780652824931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780652829367
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780652833416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652836299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652838725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652842492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652844481
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780652846520
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780652852699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652862267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652867004
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780652867009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652871150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652913992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652923514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652947687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780652949282
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780652950261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780652950709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1780652951255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780652952581
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780652954498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652956206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652960444
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780652962072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780652963548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652966753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780652969133
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780652971195
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780652977393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653002412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653011714
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780653011720
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780653013145
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780653015067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780653032377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780653033433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780653033898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653035046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653064854
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780653065356
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780653066016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653072073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653075190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653076602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653082356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653085402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653169719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653172906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653245029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653247778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653252867
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780653254472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653264849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653266886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653269742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653420459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653422081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653423228
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1780653423323
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780653423385
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1780653423606
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1780653423606
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1780653423606
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1780653424620
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1780653424621
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1780653424621
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1780653424621
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1780653424621
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1780653424621
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1780653424623
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1780653424623
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1780653424623
