what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1779786701509
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1779786701510
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1779786701510
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1779786701510
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1779786701512
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1779786701514
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1779786701514
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1779786701515
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1779786701515
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1779786701515
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1779786701516
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1779786701517
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1779786701518
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1779786701519
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1779786701520
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1779786701521
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1779786701521
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1779786701522
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1779786701522
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1779786701522
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1779786701522
os,sysinfo,,,"win32",1779786701524
arch,sysinfo,,,"x86",1779786701524
ws,sysinfo,,,"win32",1779786701524
locale,sysinfo,,,"en_US",1779786701524
processors,sysinfo,,,"12",1779786701524
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1779786701524
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1779786701524
java.specification.name,sysinfo,,,"Java Platform API Specification",1779786701524
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1779786701524
java.specification.version,sysinfo,,,"1.6",1779786701524
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1779786701524
java.version,sysinfo,,,"1.6.0_23",1779786701524
java.vm.info,sysinfo,,,"mixed mode",1779786701524
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1779786701524
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1779786701524
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1779786701524
java.vm.specification.version,sysinfo,,,"1.0",1779786701524
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1779786701524
java.vm.version,sysinfo,,,"19.0-b09",1779786701524
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779786705680
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1779786706266
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1779786707069
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1779786707101
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1779786707988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779786709021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779786710858
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1779786717954
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1779786717957
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1779786717958
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1779786717958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779786717987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779786726820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779786729126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779786730838
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1779786733135
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1779786733138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779786734206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779786736264
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1779786736963
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1779786736970
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779786739848
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1779786744107
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1779786744128
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1779786746974
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1779786767217
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1779786767296
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1779786767349
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779786768465
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1779786769323
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1779786771063
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1779786772444
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779786773203
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1779786774290
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1779786774319
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1779786775042
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1779786776056
