what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1779931322532
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1779931322533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931322601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931334996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931338387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931341577
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1779931344826
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1779931344831
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1779931347382
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1779931354261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931354460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931354535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931357103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931357366
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779931360789
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1779931363951
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1779931363964
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1779931367145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931388307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931409959
error,log,,,"Error starting process.",1779931417930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931417969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931419884
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779931430311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931431254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931437270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931450320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779931450382
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.debug",1779931450390
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1779931453684
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1779931453970
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1779931453977
