what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810694528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810714619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810716000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1779810721397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810722249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810740999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1779810749039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810750176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810826804
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1779810832548
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1779810834005
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1779810848825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1779810848834
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1779810853600
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779810853709
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779810853789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810877902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810911335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779810923818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811028563
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779811030170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811047127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811061959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811070538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811073848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811088020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811096651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811101433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811232257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779811276204
