what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932075568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932146982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1779932150485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1779932150868
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779932151286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1779932152053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1779932152597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932153992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932170726
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779932175198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1779932180140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932181459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932564098
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779932568022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1779932597961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1779932612207
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779932616658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932618396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932624123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932629242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932631209
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779932634444
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1779932641914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1779932661987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932662806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932747024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1779932754955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932756293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932774750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932776061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932779218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932781388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932789084
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779932791355
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1779932794566
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779932794680
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779932794850
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779932797058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1779932799364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932815734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932819007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1779932819903
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779932820981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1779932821631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1779932821998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932823508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932871726
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779932873860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932876495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932882311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932883826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932900065
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779932901385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779932904244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779933003009
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779933003749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1779933005725
