what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1780278535794
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1780278535794
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1780278535795
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1780278535796
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1780278535797
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1780278535798
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1780278535799
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1780278535801
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1780278535801
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1780278535802
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1780278535803
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1780278535807
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1780278535808
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1780278535819
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1780278535820
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1780278535820
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1780278535820
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1780278535821
os,sysinfo,,,"win32",1780278535823
arch,sysinfo,,,"x86",1780278535823
ws,sysinfo,,,"win32",1780278535823
locale,sysinfo,,,"en_US",1780278535823
processors,sysinfo,,,"12",1780278535823
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1780278535823
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1780278535823
java.specification.name,sysinfo,,,"Java Platform API Specification",1780278535823
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1780278535823
java.specification.version,sysinfo,,,"1.6",1780278535823
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1780278535823
java.version,sysinfo,,,"1.6.0_23",1780278535823
java.vm.info,sysinfo,,,"mixed mode",1780278535823
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1780278535823
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1780278535823
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1780278535823
java.vm.specification.version,sysinfo,,,"1.0",1780278535823
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1780278535823
java.vm.version,sysinfo,,,"19.0-b09",1780278535823
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1780278536854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780278537418
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1780278542584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780278543671
